REGION,CAPITAL,2020_2021_PRIMARY_SOURCE,2020_2021_SECONDARY_SOURCE_OR_COMMENT
Курганская область ,Курган ,https://созвездие45.рф/2021/01/14/predvaritelnye-protokoly-rezultat-2/,
Курская область ,Курск ,http://www.komobr46.ru/vserossijskaya-olimpiada-shkolnikov/3286-rezultaty-vsosh-po-russkomu-yazyku-v-2020-2021-uchebnom-godu.html,winners only
Ленинградская область ,"Санкт-Петербург[8], Гатчина ",http://center-intellect.ru/vsosh/rezultaty-region/,
Липецкая область ,Липецк ,https://olimpiada48.ru/stage/2020-2021,winners only at https://olimpiada48.ru/sites/default/files/2021/reg_etap/result/reiting/142_pr_russkiy_yazyk.pdf; maybe pre-appeal: https://olimpiada48.ru/sites/default/files/2021/reg_etap/result/russian(15_01_2021).xls
Магаданская область ,Магадан ,https://minobr.49gov.ru/activities/main_activities/competition/#%D0%92%D0%A1%D0%9E%D0%A8,
Московская область ,"Москва[9], правительство в Красногорске ",https://olympmo.ru/vos-reg-2020-2021.html,
Мурманская область ,Мурманск ,https://minobr.gov-murman.ru/activities/vserossiyskaya-olimpiada-shkolnikov/region/results/,real anonymised data from https://iro51.ru/napravlenie-deyatelnosti/vsosh/3912-analiz-rezultatov-regionalnogo-etapa-regionalnogo-etapa-vserossijskoj-olimpiady-shkolnikov-v-murmanskoj-oblasti-v-2020-21-uchebnom-godu.html papers at https://minobr.gov-murman.ru/russkiy-yazyk.zip; names at https://minobr.gov-murman.ru/files/Antikorruption/Protokol%202020/prikaz-82-russkiy-yazyk.pdf;
Нижегородская область ,Нижний Новгород ,http://imc.codnn.ru/vserossijskaya-olimpiada-shkolnikov/arxiv/,no OCR
Новгородская область ,Великий Новгород ,https://dpo53.ru/pages/vserossiyskaya-olimpiada-shkolnikov,no OCR; strange winners
Новосибирская область ,Новосибирск ,https://education.nsu.ru/vseros_nsk/,
Омская область ,Омск ,https://talant55.irooo.ru/vosh-2015-16-uchebnogo-goda/vsosh-2020-21-uchebnogo-goda/regional-nyj-etap/232-9-11-klassy-8-klass-matematika-7-8-klass-fizika/1043-prokhodnye-bally-spiski-uchastnikov-rezul-taty-regional-nogo-etapa-vserossijskoj-olimpiady-shkol-nikov-2020-21gg,
Оренбургская область ,Оренбург ,https://minobr.orb.ru/documents/active/20238/,no OCR; winners only; winners’ scores at https://disk.yandex.ru/d/5pMGMOAha5r17Q
Орловская область ,Орёл ,http://orel-edu.ru/?page_id=62242,no OCR
Пензенская область ,Пенза ,https://irrpo.pnzreg.ru/konkursy/meropriyatiya/olimpiady/rezultaty-2020-2021.php,problems with OCR
Псковская область ,Псков ,http://genius.pskovedu.ru/?project_id=6462&pagenum=32791,
Ростовская область ,Ростов-на-Дону ,https://rcoi61.ru/rezultaty-re-vsosh-2021,no OCR; winners only; one detailed winner at https://drive.google.com/drive/folders/1XSDb-gI4wHdG0VBHAX9jcbfAnj2kMDTD
Рязанская область ,Рязань ,https://minobr.ryazangov.ru/olympiad/,
Самарская область ,Самара ,https://sipkro.ru/detskaya-odarennost/olimpiady/vserossiyskaya-olimpiada-shkolnikov-2020-2021/,problems with OCR; using final protocols
Саратовская область ,Саратов ,https://olymp.soiro.ru/node/14,no OCR
Сахалинская область ,Южно-Сахалинск ,https://www.rcoko65.ru/?q=node/1135,no data
Свердловская область ,Екатеринбург ,https://minobraz.egov66.ru/file/download?id=9313,"winners at https://drive.google.com/drive/folders/1SABUfRsZARynTcOwdinsGrsUUM7olzOh, https://zsfond.ru/wp-content/uploads/2020/05/prikaz-mo-i-mp-so-ot-06.04.2021-%E2%84%96-323-d-o-pobeditelyah-i-prizerah-vsosh-v-2020-2021-uch.-godu.pdf; scores available for first prizes only"
Смоленская область ,Смоленск ,http://edu67.ru/deiatelnost/odarennye-deti/vserossijskaya-olimpiada-shkolnikov/protokoly-regionalnogo-etapa-vserossijskoj-olimpiady-shkolnikov-2020-2021/,
Тамбовская область ,Тамбов ,https://obraz.tmbreg.ru/itogovye-protokoly-zhyuri-regionalnogo-etapa-vserossijskoj-olimpiady-shkolnikov-v-2020-2021-uchebnom-godu.html,"no OCR; using de facto identical preliminaries at https://obraz.tmbreg.ru/images/_%D0%A0%D0%A3%D0%A1%D0%A1%D0%9A%D0%98%D0%99_%D0%AF%D0%97%D0%AB%D0%9A_-_%D0%BF%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82._%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D0%BA%D0%BE%D0%BB.pdf (which is strange by itself, as if no one appealed); probably wrong winners (all designated as winners)"
Тверская область ,Тверь ,https://минобр.тверскаяобласть.рф/deyatelnost-iogv/napravleniya/olimpiada-shkolnikov/regionalnyy-i-munitsipalnyy-etap-vserossiyskoy-olimpiady-shkolnikov-v-2020-2021-uchebnom-godu/rezultaty-i-raboty-prizerov-i-pobeditelets-re-vsosh/,no OCR
Томская область ,Томск ,http://rcro.tomsk.ru/vsosh/regional-ny-j-e-tap-vsosh/,
Тульская область ,Тула ,https://education.tularegion.ru/activities/razvitie-obshchego-obrazo42/vserossiyskaya-olimpiada-shkolnikov/rezultaty-vsosh/?page=%2Factivities%2Frazvitie-obshchego-obrazo42%2Fvserossiyskaya-olimpiada-shkolnikov%2Frezultaty-vsosh%2F&PAGEN_1=3,no OCR; winners as papers here: https://education.tularegion.ru/upload/iblock/e89/e89f8c0b52c435d1f0c36744bcd9d961.zip
Тюменская область,Тюмень ,https://togirro.ru/organizacionno/meropriyatiya_dety/razd_vsosh_2018-2019/arxiv_vsosh_all/2020_2021/regionalnyj_eta/protokoly/russkij_yazyk.html,
Ульяновская область ,Ульяновск ,http://aliay-parus.ucoz.ru/index/russkij_jazyk/0-169,winners’ names at http://aliay-parus.ucoz.ru/documents/2021/vsosh/117_r.pdf
Челябинская область ,Челябинск ,https://rcokio.ru/vserossijskaja/#rezul,
Ярославская область ,Ярославль ,https://www.yarregion.ru/depts/dobr/Pages/%d0%92%d1%81%d0%9e%d0%a8_2020-2021.aspx,no OCR
Москва ,Москва ,https://reg.olimpiada.ru/register/russia-olympiad-russ-2020-3-protocol/olympiad-protocol-static,
Санкт-Петербург ,Санкт-Петербург ,http://baseold.anichkov.ru/files/olimp/russia/2020-2021/spisok_ball-_rus_-_itog.pdf,
Севастополь [аннексирован],Севастополь ,http://www.sev-centr.ru/rezultaty-regionalnogo-etapa-vsosh-v-2020-2021-uchebnom-godu.html,
Еврейская АО ,Биробиджан ,http://coko-eao.ru/index.php?option=com_k2&view=itemlist&layout=category&task=category&id=32&Itemid=33,
Ненецкий АО,Нарьян-Мар ,https://cronao.ru/odarjonnye-deti/vsoiiii/protokoly-regionalnogo-etapa-vsosh-2016-2017-uchebnyj-god,
Ханты-Мансийский АО — Югра,Ханты-Мансийск ,https://olymp.iro86.ru/index.php/home/2018-01-22-04-25-52/307-2020-01-13-12-34-42,"no OCR; preliminary results, non-identical, at https://olymp.iro86.ru/index.php/home/2018-01-22-04-25-52/309-2020-01-14-11-05-23"
Чукотский АО ,Анадырь ,https://www.edu87.ru/index.php/2015-01-21-00-17-57/2019-11-01-05-27-29/olimp/item/1557-%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D0%BA%D0%BE%D0%BB%D1%8B-%D0%B6%D1%8E%D1%80%D0%B8-%D0%BF%D0%BE-%D0%BB%D0%B8%D1%82%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%B5-%D0%B8-%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%BE%D0%BC%D1%83-%D1%8F%D0%B7%D1%8B%D0%BA%D1%83,no OCR; strange winners
Ямало-Ненецкий АО,Салехард ,https://riro.yanao.ru/activity/11979/,no OCR
HUB,,http://vserosolymp.rudn.ru/mm/sites/,
HUB,,https://olimpiada.ru/reg_results/2021,
FINAL,,percentages at finals at https://bspu.ru/data/vsosh2021/documents/%D0%9F%D1%80%D0%BE%D1%82%D0%BE%D0%BA%D0%BE%D0%BB%20%D0%B7%D0%B0%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%B6%D1%8E%D1%80%D0%B8%20%D0%92%D0%9E%D0%A8%20%D0%A0%D0%AF%202021.pdf,
